Кодифицированный нормативный акт, устанавливающий порядок судопроизводства в арб | Арбитражный процессуальный кодекс Российской Федерации — Редакция от 15.12.2025.md
Бетоны. Определение прочности механическими методами неразрушающего контроля. ГО | Бетоны. Определение прочности механическими методами неразрушающего контроля. ГОСТ 22690-2015 — Редакция от 25.09.2015.md
Монография по теории и практике судебной строительно-технической экспертизы. А.Ю | Бутырин. Теория и практика ССТЭ.md
(no description field) | Ведомственные строительные нормы ВСН 58-88 (р) Положение об организации и проведении реконструкции, ремонта и технического обслуживания зданий, объектов коммунального и социально-культурного назначения — Редакция от 23.11.1988.md
ГОСТ 10060-2012 Бетоны. Методы определения морозостойкости / 10060 2012 | ГОСТ 10060-2012 Бетоны. Методы определения морозостойкости.md
ГОСТ 10180-2012 Бетоны. Методы определения прочности по контрольным образцам / 1 | ГОСТ 10180-2012 Бетоны. Методы определения прочности по контрольным образцам.md
Введен в действие Приказом Федерального агентства по техническому регулированию  | ГОСТ 10181-2014. Межгосударственный стандарт. Смеси бетонные. Методы испытаний (введен в действие Приказом Росстандарта от 11.12.2014 N 1972-ст).md
ГОСТ 12004-81. Статус: Действует. Наименование: Сталь арматурная. Методы испытан | ГОСТ 12004-81 Сталь арматурная. Методы испытания на растяжение.md
ГОСТ 13078-2021. Статус: Действует. Наименование: Стекло натриевое жидкое. Техни | ГОСТ 13078-2021 Стекло натриевое жидкое. Технические условия.md
ГОСТ 14098-2014. Статус: Действует. Наименование: Соединения сварные арматуры и  | ГОСТ 14098-2014 Соединения сварные арматуры и закладных изделий железобетонных конструкций. Типы, конструкции и размеры.md
ГОСТ 1497-2023. Статус: Действует. Наименование: Металлы. Методы испытаний на ра | ГОСТ 1497-2023 Металлы. Методы испытаний на растяжение.md
ГОСТ 15613.2-77. Статус: Действует. Наименование: Древесина клееная массивная. М | ГОСТ 15613.2-77 Древесина клееная массивная. Метод определения предела прочности клеевого соединения при раскалывании.md
ГОСТ 15613.5-79. Статус: Действует. Наименование: Древесина клееная массивная. М | ГОСТ 15613.5-79 Древесина клееная массивная. Метод определения предела прочности зубчатых клеевых соединений при растяжении.md
ГОСТ 16483.0-89. Статус: Действует. Наименование: Древесина. Общие требования к  | ГОСТ 16483.0-89 Древесина. Общие требования к физико-механическим испытаниям.md
ГОСТ 16483.10-73. Статус: Действует. Наименование: Древесина. Методы определения | ГОСТ 16483.10-73 Древесина. Методы определения предела прочности при сжатии вдоль волокон.md
